Date,Close_BTC,Close_BTC_Filled,Close_SP_500,Close_SP_500_Filled,BTC_Return,SP_500_Return,Normalized_Price_BTC,Normalized_Price_SP_500,Rolling_Correlation_BTC_SP_500,Bitcoin_Return_Volatility,SP_500_Return_Volatility
2019-08-26,10370.820313,10370.820313,2878.3798828125,2878.3798828125,0.0,0.0,100.0,100.0,,,
2019-08-27,10185.5,10185.5,2869.159912109375,2869.159912109375,-1.7869397733918695,-0.3203180635808243,98.21306022660814,99.67968193641917,,,
2019-08-28,9754.422852,9754.422852,2887.93994140625,2887.93994140625,-4.232263001325417,0.6545480165679621,94.05642521616795,100.33213331745526,,,
2019-08-29,9510.200195,9510.200195,2924.580078125,2924.580078125,-2.5037120156209554,1.268729179350887,91.70152319656721,101.60507636911905,,,
2019-08-30,9598.173828,9598.173828,2926.4599609375,2926.4599609375,0.9250450168888525,0.06427872591217355,92.54980356730823,101.6703868176712,,,
2019-08-31,9630.664063,9630.664063,,2926.4599609375,0.33850434032792864,0.0,92.86308866934854,101.6703868176712,,,
2019-09-01,9757.970703,9757.970703,,2926.4599609375,1.3218884924986578,0.0,94.09063515224749,101.6703868176712,,,
2019-09-02,10346.760742,10346.760742,,2926.4599609375,6.033939401139842,0.0,99.76800705948168,101.6703868176712,,,
2019-09-03,10623.540039,10623.540039,2906.27001953125,2906.27001953125,2.6750333162386286,-0.6899100509060815,102.43683448727012,100.968952600221,,,
2019-09-04,10594.493164,10594.493164,2937.780029296875,2937.780029296875,-0.2734199230516968,1.0842079212828002,102.15675177323844,102.06366598234888,,,
2019-09-05,10575.533203,10575.533203,2976.0,2976.0,-0.17896052889461903,1.3009813642266648,101.97393150996348,103.3914952564258,,,
2019-09-06,10353.302734,10353.302734,2978.7099609375,2978.7099609375,-2.101364202960085,0.09106051537298387,99.83108781686208,103.48564408485812,,,
2019-09-07,10517.254883,10517.254883,,2978.7099609375,1.5835734085277335,0.0,101.41198637697389,103.48564408485812,,,
2019-09-08,10441.276367,10441.276367,,2978.7099609375,-0.7224177491677056,0.0,100.67936818760307,103.48564408485812,,,
2019-09-09,10334.974609,10334.974609,2978.429931640625,2978.429931640625,-1.0180916035894791,-0.00940102596584682,99.65435999353815,103.47591537258678,,,
2019-09-10,10115.975586,10115.975586,2979.389892578125,2979.389892578125,-2.1190088150704263,0.03223043548220117,97.54267532067307,103.50926611073055,,,
2019-09-11,10178.37207,10178.37207,3000.929931640625,3000.929931640625,0.616811334404094,0.7229681189480366,98.14432959793197,104.25760510486823,,,
2019-09-12,10410.126953,10410.126953,3009.570068359375,3009.570068359375,2.276934674878725,0.287915310106104,100.37901186997453,104.55777871191509,,,
2019-09-13,10360.546875,10360.546875,3007.389892578125,3007.389892578125,-0.4762677556560713,-0.07244143620947467,99.90093900299168,104.48203555534748,,,
2019-09-14,10358.048828,10358.048828,,3007.389892578125,-0.024111150020728347,0.0,99.87685173771655,104.48203555534748,,,
2019-09-15,10347.712891,10347.712891,,3007.389892578125,-0.09978652516158663,0.0,99.77718809792668,104.48203555534748,,,
2019-09-16,10276.793945,10276.793945,2997.9599609375,2997.9599609375,-0.6853586560338571,-0.31355866640028723,99.09335650255036,104.15442307803224,,,
