Date,Open,High,Low,Close,Adj Close,Volume
2023-08-24,13834.309570,13834.690430,13462.839844,13463.969727,13463.969727,4383820000
2023-08-25,13514.370117,13633.419922,13376.349609,13590.650391,13590.650391,3970060000
2023-08-28,13695.360352,13735.980469,13626.639648,13705.129883,13705.129883,3666680000
2023-08-29,13687.230469,13959.809570,13677.059570,13943.759766,13943.759766,4748180000
2023-08-30,13961.769531,14050.820313,13924.200195,14019.309570,14019.309570,4364600000
2023-08-31,14041.540039,14114.669922,14010.480469,14034.969727,14034.969727,4568610000
2023-09-01,14129.959961,14149.620117,13982.419922,14031.809570,14031.809570,4033960000
2023-09-05,13994.540039,14060.849609,13945.650391,14020.950195,14020.950195,4379790000
2023-09-06,13988.809570,14001.950195,13802.419922,13872.469727,13872.469727,4215320000
2023-09-07,13675.110352,13774.629883,13642.469727,13748.830078,13748.830078,4320830000
2023-09-08,13754.709961,13843.370117,13733.179688,13761.530273,13761.530273,4160360000
2023-09-11,13884.030273,13937.469727,13805.129883,13917.889648,13917.889648,4538870000
2023-09-12,13858.940430,13913.599609,13763.690430,13773.610352,13773.610352,4595490000
2023-09-13,13773.669922,13868.570313,13733.820313,13813.589844,13813.589844,4840310000
2023-09-14,13889.759766,13957.570313,13810.660156,13926.049805,13926.049805,4649010000
2023-09-15,13889.200195,13895.750000,13684.240234,13708.330078,13708.330078,8162210000
2023-09-18,13669.959961,13751.280273,13663.459961,13710.240234,13710.240234,4855880000
2023-09-19,13649.440430,13705.150391,13578.870117,13678.190430,13678.190430,4453460000
2023-09-20,13710.259766,13727.809570,13467.280273,13469.129883,13469.129883,4782440000
2023-09-21,13328.059570,13362.230469,13222.559570,13223.980469,13223.980469,5014890000
2023-09-22,13287.169922,13353.219727,13200.639648,13211.809570,13211.809570,4302700000
2023-09-25,13172.540039,13277.830078,13132.000000,13271.320313,13271.320313,4100290000
2023-09-26,13180.959961,13199.129883,13033.400391,13063.610352,13063.610352,4693540000
2023-09-27,13115.360352,13156.370117,12963.160156,13092.849609,13092.849609,4841410000
2023-09-28,13043.370117,13270.969727,13025.110352,13201.280273,13201.280273,4648390000
2023-09-29,13337.709961,13382.980469,13177.089844,13219.320313,13219.320313,5138500000
2023-10-02,13217.980469,13364.030273,13204.080078,13307.769531,13307.769531,4554700000
2023-10-03,13229.679688,13280.040039,13008.599609,13059.469727,13059.469727,4684310000
2023-10-04,13092.919922,13258.759766,13072.509766,13236.009766,13236.009766,4308070000
2023-10-05,13228.120117,13251.179688,13087.570313,13219.830078,13219.830078,4167470000
2023-10-06,13127.679688,13472.269531,13099.030273,13431.339844,13431.339844,4309420000
2023-10-09,13326.219727,13509.299805,13277.480469,13484.240234,13484.240234,3835930000
2023-10-10,13505.809570,13659.629883,13491.809570,13562.839844,13562.839844,4301350000
2023-10-11,13619.209961,13671.110352,13549.290039,13659.679688,13659.679688,4160440000
2023-10-12,13672.469727,13714.139648,13491.559570,13574.219727,13574.219727,4858620000
2023-10-13,13613.589844,13619.540039,13361.849609,13407.230469,13407.230469,4251550000
2023-10-16,13453.809570,13598.049805,13447.169922,13567.980469,13567.980469,4308690000
2023-10-17,13419.870117,13602.250000,13364.740234,13533.750000,13533.750000,4417640000
2023-10-18,13439.679688,13499.740234,13275.299805,13314.299805,13314.299805,4617140000
2023-10-19,13354.799805,13404.730469,13157.330078,13186.179688,13186.179688,5014790000
2023-10-20,13157.769531,13177.349609,12977.429688,12983.809570,12983.809570,4622840000
2023-10-23,12930.849609,13143.219727,12848.830078,13018.330078,13018.330078,4669060000
2023-10-24,13084.990234,13170.389648,13022.849609,13139.870117,13139.870117,4604720000
2023-10-25,13039.860352,13042.519531,12804.299805,12821.219727,12821.219727,4599850000
2023-10-26,12768.969727,12818.139648,12543.860352,12595.610352,12595.610352,4894900000
